gtfsid,id,cid,Cn,Sn,P,H
7625036,1313,192,Sarpsborg,Sn:Quality Hotel Vid E-6:an,1951,true
7415561,2340,418,Kungälv,Eriksdal,144,true
7412949,1403,219,Söderbärke,Busstationen,794,true
7420483,1394,210,Göteborg,Nils Ericson-terminalen,64582,true
7423098,1409,225,Uddevalla,Torp Köpcentrum Hpl A4,5703,true
7400266,1406,222,Fagersta,Järnvägsstationen Västanfors,1222,true
7411131,1395,260,Norrköping,Resecentrum C3-C6,8679,true
7422989,1991,334,Tanum,Tanum Preem,1884,false
7423566,1402,218,Smedjebacken,OKQ8,940,true
7400291,1401,217,Ludvika,Busstationen,2052,true
7400003,1390,206,Malmö,Malmö C/Glashallen,16001,true
7436225,1450,242,Mjölby,Mc Donalds p-plats,970,true
7400300,1393,209,Borås,Resecentrum,6831,true
7400622,1391,207,Stockholm,Cityterminalen,27972,true
7400090,1387,203,Jönköping,Resecentrum,19432,true
7690003,1998,189,Moss,Mosseporten,2274,true
7690001,242,46,Oslo,Bussterminal,75683,true
7410955,1396,212,Linköping,Fjärrbussterminalen,17257,true
8624917,1397,213,Köpenhamn,Ingerslevsgade vid DGI-byn,14779,true
7400044,1388,204,Helsingborg,Knutpunkten,13024,true
8600858,1399,216,Kastrup,Terminal 2,2555,true
7400120,1389,205,Lund,Järnvägsstation,7138,false
