gtfsid,name,lat,long,F1
74000019,Leksand station,15.0033282604616,60.7339922182444,W
74000024,Söderbärke station,15.5370714909365,60.0724781062118,W
74000026,Säter station,15.757054516234,60.3464906097079,W
74000030,Falun Centralstation,15.6416245527503,60.6032890286406,W
74000042,Hedemora station,15.9803184635805,60.2740007547183,W
74000046,Ramnäs station,16.2081850667825,59.7697634906032,U
74000048,Charlottenberg station,12.2976466555062,59.8839726795924,S
74000062,Smedjebacken station,15.4058143218674,60.1363213302543,W
74000070,Karlstad Centralstation,13.4991002092667,59.377798624444,S
74000077,Hallsberg station,15.1103793020635,59.0671024778319,T
74000093,Lindesberg station,15.2288302379108,59.5945928341602,T
74000097,Tällberg station,15.0184013447589,60.8182402748183,W
74000099,Västerås Centralstation,16.5508180737442,59.6067210628001,U
74000111,Avesta Krylbo station,16.2159297938182,60.1296693147052,W
74000129,Degerfors station,14.4398407203248,59.2291301420411,T
74000133,Örebro Centralstation,15.2113446500157,59.278941198879,T
74000135,Ängelsberg station,16.0089198302988,59.9571343605708,U
74000158,Rättvik station,15.1152331124786,60.8846661915735,W
74000160,Borlänge Centralstation,15.4258403938769,60.4835359160917,W
74000162,Grängesberg station,15.0054634325086,60.0763957773718,W
74000167,Köping station,16.0042174159356,59.5066712121827,U
74000172,Motala station,15.0482765090454,58.5374415147136,E
74000180,Mjölby station,15.1319872807653,58.3229818920876,E
74000186,Skinnskatteberg station,15.6919277464098,59.8330067003762,U
74000192,Kumla station,15.1406785860786,59.1265196918245,T
74000194,Laxå station,14.6166575875365,58.9893922876874,T
74000195,Sandviken station,16.7781128133499,60.6141755625134,X
74000196,Virsbo station,16.0840644527902,59.8726161990857,U
74000202,Insjön station,15.0943669852216,60.6753429774364,W
74000206,Kil station,13.3163410973656,59.5050312664349,S
74000210,Gävle Centralstation,17.1511887073694,60.6762455098716,X
74000214,Sala station,16.6066327369245,59.9252059386163,U
74000218,Hofors station,16.2663613649714,60.5695712343298,X
74000221,Arvika station,12.5911483313539,59.6535915001349,S
74000222,Kristinehamn station,14.1088348889512,59.3165342128491,S
74000244,Storvik station,16.5349484644066,60.5820999397333,X
74000266,Fagersta Centralstation,15.8157213788443,59.9907597999329,U
74000280,Kopparberg station,14.9868533638948,59.872712542348,T
74000287,Väse station,13.8534909485228,59.3816106612259,S
74000291,Ludvika station,15.1826107315009,60.1499182896689,W
74000293,Frövi station,15.3637819836437,59.4676442900602,T
74000302,Mora station,14.5587417208109,61.0087999566135,W
74000303,Djurås station,15.1385937067872,60.5601779134054,W
74000307,Åmotfors station,12.3663279305049,59.7689502272521,S
74000322,Gagnef station,15.0813777453147,60.5987962645141,W
74000347,Storfors station,14.2714083377577,59.5331689633591,S
74000359,Ottebol station,12.469770248021,59.696103711669,S
74000361,Örebro Södra station,15.2023291670445,59.2699856798967,T
74000384,Surahammar station,16.2196853238417,59.7066258906377,U
74000410,Edane station,12.8293653916364,59.6268294492416,S
74000418,Högboda station,13.0514813739345,59.5576198609786,S
74000419,Hällefors station,14.5186133051464,59.7826362417922,T
74000426,Fagerås station,13.219948792679,59.5193967651907,S
74000482,Grythyttan station,14.5304010999722,59.7042466890148,T
74000630,Horndals Bruk station,16.4131789581871,60.2958851364495,W
74000638,Ställdalen station,14.9432108437515,59.9336519578532,T
74000673,Hallstahammar station,16.2207331002529,59.6145806179047,U
74000679,Ransta station,16.6400973691677,59.8100035819819,U
74000683,Vad station,15.6423211771181,60.0323232005643,W
74000704,Fors station,16.3142432481562,60.208268857733,W
74000816,Nykroppa station,14.3074334728344,59.6238393640769,S
74000903,Karbenning station,16.0728096701525,60.0366080982497,U
74001333,Dingtuna station,16.3955667563934,59.573939282634,U
74001422,Lene station,13.1227725983254,59.5440941350353,S
74001423,Brunsberg station,12.9626550915064,59.6170905254631,S
74001424,Lerot station,12.3628921227722,59.8262853766604,S
74001425,Ås station,12.3426122084166,59.857448127721,S
74001533,Bredsjö station,14.7343228166774,59.8330005861567,T
74001563,Torsåker station,16.4891657708971,60.5141480363706,X
74001567,Storå station,15.1430912224068,59.7136895992733,T
74001568,Avesta centrum station,16.1664327695379,60.1476116148418,W
74020094,Fagersta Norra station,15.7877656614566,60.0027143712469,U
74020170,Morastrand station,14.5429959897818,61.0049017159687,W
74025002,Välsviken station,13.5829525793548,59.3912968968776,S
76000100,Oslo S,10.7528178950855,59.911269886995,
76000207,Lilleström,11.042499933521,59.9524153128645,
76000303,Fetsund,2.45441230668005,0.00587420450848654,
76000305,Sörumsand,11.0953841187728,59.9568084887639,
76000311,Årnes,11.4701165334196,60.1236230247751,
76000315,Skarnes,11.6741418262541,60.2521499996883,
76000318,Kongsvinger,12.0001906158253,60.186173411812,
